date,number,total,a,b,c,d,e,f,g,h,i,median income,error1,mean income,error2
2004,113343.00,100.00,10.00,9.70,9.80,12.70,17.10,12.90,15.10,6.50,6.20,60901.00,443.00,83062.00,515.00
2003,112000.00,100.00,10.10,9.70,9.10,12.90,17.30,12.60,15.50,6.50,6.30,61113.00,436.00,83332.00,501.00
2002,111278.00,100.00,9.80,9.70,9.10,12.80,17.50,12.70,15.80,6.50,6.10,61190.00,330.00,83472.00,515.00
2001,109297.00,100.00,9.50,9.60,8.70,13.10,17.60,12.80,15.80,6.40,6.40,61889.00,311.00,85309.00,559.00
2000,108209.00,100.00,8.90,9.40,8.80,13.10,17.20,13.60,15.50,7.10,6.40,63292.00,327.00,86120.00,558.00
1999,106434.00,100.00,8.90,9.50,9.10,12.90,17.40,13.40,15.60,6.70,6.50,63423.00,487.00,85306.00,728.00
1998,103874.00,100.00,9.60,9.80,8.90,13.10,17.40,13.70,15.40,6.40,5.70,61891.00,602.00,82535.00,733.00
1997,102528.00,100.00,10.10,10.00,9.50,12.80,18.10,13.20,14.90,6.00,5.30,59697.00,454.00,80163.00,738.00
1996,101018.00,100.00,10.40,10.50,9.50,13.40,17.80,13.50,14.70,5.60,4.70,58494.00,485.00,77662.00,716.00
1995,99627.00,100.00,10.30,10.40,10.10,13.10,18.80,13.20,14.40,5.30,4.50,57655.00,548.00,76034.00,685.00
1994,98990.00,100.00,11.20,10.70,10.00,13.30,18.50,12.70,14.20,5.20,4.40,55905.00,419.00,74738.00,661.00
1993,97107.00,100.00,11.60,10.60,9.70,14.00,18.50,13.00,13.60,5.20,4.00,55263.00,425.00,73282.00,652.00
1992,96426.00,100.00,11.70,10.50,10.00,13.50,18.80,13.40,13.70,4.90,3.50,55559.00,433.00,70437.00,486.00
1991,95669.00,100.00,11.40,10.10,9.60,13.90,19.20,13.40,13.90,5.00,3.40,55992.00,443.00,70482.00,477.00
1990,94312.00,100.00,10.90,9.90,9.70,13.50,19.50,13.80,14.10,4.90,3.80,57677.00,485.00,72047.00,501.00
1989,93347.00,100.00,10.60,9.90,9.50,13.00,19.30,13.80,14.60,5.30,4.00,58425.00,529.00,73815.00,529.00
1988,92830.00,100.00,11.30,9.60,9.90,13.00,19.20,14.10,14.40,4.80,3.70,57433.00,462.00,71761.00,527.00
1987,91124.00,100.00,11.40,9.90,9.70,13.40,19.10,14.20,14.20,4.80,3.40,56964.00,442.00,70841.00,478.00
1986,89479.00,100.00,11.80,9.90,9.80,13.60,19.20,14.10,13.80,4.50,3.20,56291.00,480.00,69545.00,465.00
1985,88458.00,100.00,11.90,10.30,10.20,14.00,19.80,13.70,13.30,4.00,2.70,54334.00,484.00,66868.00,435.00
1984,86789.00,100.00,12.00,10.80,10.10,14.50,19.80,13.60,12.90,3.90,2.50,53337.00,399.00,65351.00,395.00
1983,85407.00,100.00,12.50,10.80,10.60,14.60,20.10,13.50,12.20,3.50,2.30,51764.00,387.00,62957.00,387.00
1982,83918.00,100.00,12.50,10.70,10.80,14.40,20.70,13.40,12.00,3.40,2.20,52130.00,387.00,62824.00,383.00
1981,83527.00,100.00,12.20,10.80,10.90,14.30,20.40,14.10,12.10,3.30,1.90,52272.00,451.00,62447.00,374.00
1980,82368.00,100.00,11.90,10.70,10.20,14.50,20.80,14.40,12.10,3.40,1.90,53116.00,449.00,63172.00,380.00
1979,80776.00,100.00,11.60,10.10,10.10,13.90,20.80,14.90,12.80,3.50,2.30,54899.00,428.00,65214.00,406.00
1978,77330.00,100.00,11.40,10.40,10.00,14.20,20.90,14.90,12.70,3.30,2.10,55004.00,366.00,64738.00,408.00
1977,76030.00,100.00,11.70,11.20,10.00,14.50,21.10,14.80,11.90,2.90,1.90,52954.00,327.00,62818.00,314.00
1976,74142.00,100.00,11.80,11.10,10.20,14.70,21.60,14.60,11.50,2.60,1.80,52621.00,321.00,61896.00,314.00
1975,72867.00,100.00,12.20,11.20,10.30,15.00,22.00,14.20,11.00,2.50,1.60,51762.00,346.00,60444.00,310.00
1974,71163.00,100.00,11.60,10.60,9.90,15.20,21.90,15.00,11.30,2.80,1.70,53154.00,336.00,62160.00,320.00
1973,69859.00,100.00,11.40,10.60,9.50,14.00,22.10,15.10,12.10,3.10,2.00,54893.00,344.00,63483.00,318.00
1972,68251.00,100.00,12.20,10.30,9.90,14.50,22.40,14.80,11.30,2.90,1.90,53806.00,338.00,62623.00,319.00
1971,66676.00,100.00,13.10,10.10,10.50,15.00,23.60,13.90,10.10,2.30,1.50,51596.00,329.00,59340.00,310.00
1970,64778.00,100.00,13.10,9.90,9.70,15.50,23.90,14.00,10.20,2.30,1.50,52103.00,314.00,59662.00,314.00
1969,63401.00,100.00,12.90,9.60,9.60,15.30,24.10,14.90,9.80,2.30,1.40,52510.00,319.00,59740.00,309.00
1968,62214.00,100.00,13.20,10.10,10.20,16.40,24.60,14.10,8.50,1.90,1.20,50628.00,301.00,57278.00,301.00
1967,60813.00,100.00,14.50,10.20,10.50,17.00,24.70,12.20,7.90,1.70,1.30,48537.00,291.00,54285.00,291.00
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
